kelas,kategori,target_bulan,materi
Kelas 4,Hafalan Surat Al Qur'an,Juli - September,Surat Al Alaq
Kelas 1,Hafalan Surat Al Qur'an,Mei - Juni,Surat Al Asr
Kelas 5,Hafalan Surat Al Qur'an,April - Juni,Surat Al Balad
Kelas 3,Hafalan Surat Al Qur'an,Juli - Desember,Surat Al Bayinah
Kelas 6,Hafalan Surat Al Qur'an,Juli - September,Surat Al Fajr
Kelas Paud,Hafalan Surat Al Qur'an,September - Oktober,Surat Al Falaq
Kelas Paud,Hafalan Surat Al Qur'an,Juli,Surat Al Fatihah
Kelas 1,Hafalan Surat Al Qur'an,Januari - Februari,Surat Al Fiil
Kelas 6,Hafalan Surat Al Qur'an,Oktober - Desember,Surat Al Ghosiyah
Kelas 1,Hafalan Surat Al Qur'an,Maret - April,Surat Al Humazah
Kelas Paud,Hafalan Surat Al Qur'an,November - Desember,Surat Al Ikhlas
Kelas Paud,Hafalan Surat Al Qur'an,Mei - Juni,Surat Al Kafirun
Kelas 1,Hafalan Surat Al Qur'an,Juli - Agustus,Surat Al Kautsar
Kelas Paud,Hafalan Surat Al Qur'an,Januari - Februari,Surat Al Lahab
Kelas 5,Hafalan Surat Al Qur'an,Oktober - Desember,Surat Al Lail
Kelas 1,Hafalan Surat Al Qur'an,September - Oktober,Surat Al Maun
Kelas 3,Hafalan Surat Al Qur'an,Januari - Juni,Surat Al Qodr
Kelas 2,Hafalan Surat Al Qur'an,Oktober - Desember,Surat Al Qoriah
Kelas Paud,Hafalan Surat Al Qur'an,Agustus,Surat An Nas
Kelas Paud,Hafalan Surat Al Qur'an,Maret - April,Surat An Nasr
Kelas 5,Hafalan Surat Al Qur'an,Januari - Maret,Surat As Syams
Kelas 4,Hafalan Surat Al Qur'an,Januari - Juni,Surat As Syarh
Kelas 2,Hafalan Surat Al Qur'an,Juli - September,Surat At Takasur
Kelas 6,Hafalan Surat Al Qur'an,April - Juni,Surat At Thoriq
Kelas 4,Hafalan Surat Al Qur'an,Oktober - Desember,Surat At Tin
Kelas 2,Hafalan Surat Al Qur'an,April - Juni,Surat Az Zalzalah
Kelas 1,Hafalan Surat Al Qur'an,November - Desember,Surat Quroisy
