kelas,kategori,target_bulan,materi
SMP 1,Praktik Ibadah,Oktober - Desember,Praktik salat beserta bacaan dan doanya
SMP 1,Praktik Ibadah,Juli - September,Praktik sholat tasbih
SMP 1,Akhlaq,Juli - Agustus,Pribadi
SMP 1,Materi Dasar Keagamaan,Februari,Puasa Romadhon
SMP 1,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
SMP 1,Materi Dasar Keagamaan,Oktober,"Sholat sunah rowatib, dhuha, dan tahajud"
SMP 1,Hafalan Surat Al Qur'an,Juli - Agustus,Surat Al Buruj
SMP 1,Hafalan Surat Al Qur'an,Januari - Maret,Surat Al Insyiqaq
SMP 1,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
SMP 1,Adab/ Tatakrama,Oktober,Tata krama berpakaian
SMP 1,Adab/ Tatakrama,April,Tata krama bersepeda
SMP 1,Adab/ Tatakrama,September,Tata krama bertamu/ diajak bertamu
SMP 1,Adab/ Tatakrama,Januari,Tata krama di tempat pengajian dan sekolah
SMP 1,Adab/ Tatakrama,Maret,Tata krama ketika bersin
SMP 1,Adab/ Tatakrama,Januari,Tata krama ketika di masjid
SMP 1,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
SMP 1,Adab/ Tatakrama,Maret,Tata krama ketika menguap
SMP 1,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
SMP 1,Adab/ Tatakrama,November,Tata krama terhadap kerabat
SMP 1,Adab/ Tatakrama,Februari,Tata krama terhadap lingkungan dan alam sekitar
SMP 1,Adab/ Tatakrama,Desember,Tata krama terhadap tetangga
SMP 1,Adab/ Tatakrama,September,Tata krama terhadap ulil amri
SMP 1,Adab/ Tatakrama,Februari,Tata krama tidur
SMP 1,Tulis Huruf Arab,Januari - Juni,Terampil menulis makna pegon
SMP 1,Materi Dasar Keagamaan,Januari,Thoharoh dan Sholat
SMP 1,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
SMP 2,Baca Huruf Al-Qur'an,Juli - Agustus,Al Quran 18
SMP 2,Baca Huruf Al-Qur'an,September - Oktober,Al Quran 19
SMP 2,Baca Huruf Al-Qur'an,November - Desember,Al Quran 20
SMP 2,Baca Huruf Al-Qur'an,Januari - Februari,Al Quran 21
SMP 2,Baca Huruf Al-Qur'an,Maret - April,Al Quran 22
SMP 2,Baca Huruf Al-Qur'an,Mei - Juni,Al Quran 23
SMP 2,Materi Dasar Keagamaan,Juni,Aurot
SMP 2,Hafalan Surat Al Qur'an,September - Oktober,Ayat Kursi
SMP 2,Adab/ Tatakrama,Agustus,Bergaul dengan teman
SMP 2,Hafalan Surat Al Qur'an,Juni,Dalil 5 Maqodirulloh
SMP 2,Hafalan Surat Al Qur'an,November - Desember,Dalil 5 Syarat Kerukunan
SMP 2,Materi Dasar Keagamaan,Juli,Dasar Aqidah
SMP 2,Materi Dasar Keagamaan,Mei,"hukum haid, mani, madzi, wadhi"
SMP 2,Baca Huruf Al-Qur'an,Juli,Hukum Mad
SMP 2,Materi Dasar Keagamaan,April,hukum mahrom
SMP 2,Baca Huruf Al-Qur'an,Februari,Hukum Qolqolah
SMP 2,Baca Huruf Al-Qur'an,Januari,Hukum Ro'
SMP 2,Materi Dasar Keagamaan,November,"ilmu manqul, musnad, muttashil"
SMP 2,Tulis Huruf Arab,Januari - Maret,Juz 26
SMP 2,Tulis Huruf Arab,April - Juni,K. Da'wat
SMP 2,Tulis Huruf Arab,November - Desember,K. Sholatinnawafil
SMP 2,Materi Dasar Keagamaan,Maret,"Kefadholan puasa,dan yang di perbolehkan saat puasa"
SMP 2,Akhlaq,September - Oktober,Keluarga
SMP 2,Mandiri,September - Oktober,Kemandirian dalam keluarga
SMP 2,Mandiri,November - Desember,Kemandirian dalam lingkungan Jama'ah dan sekolah
SMP 2,Mandiri,Juli - Agustus,Kemandirian pribadi
SMP 2,Materi Dasar Keagamaan,September,Kemurnian ibadah
SMP 2,Mandiri,Januari - Maret,Keterampilan Generus Putra
SMP 2,Mandiri,April - Juni,Keterampilan Generus Putri
SMP 2,Akhlaq,April - Juni,Lingkungan dan alam sekitar
SMP 2,Tulis Huruf Arab,Juli - Agustus,Makna Juz 24
SMP 2,Tulis Huruf Arab,September - Oktober,Makna Juz 25
SMP 2,Materi Dasar Keagamaan,Desember,mandi junub
SMP 2,Akhlaq,Januari - Maret,Masyarakat
SMP 2,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
SMP 2,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
SMP 2,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
SMP 2,Materi Dasar Keagamaan,Januari,Pengertian Qur'an Hadits Jama'ah
SMP 2,Materi Dasar Keagamaan,Agustus,Pengetahuan halal dan harom
SMP 2,Materi Dasar Keagamaan,Agustus,Pengetahuan wajibnya taat dan haromnya maksiat
SMP 2,Praktik Ibadah,Januari - Maret,Praktik rutin membaca Al Quran
SMP 2,Praktik Ibadah,April - Juni,Praktik rutin membaca PR 13
SMP 2,Praktik Ibadah,Oktober - Desember,Praktik salat beserta bacaan dan doanya
SMP 2,Praktik Ibadah,Juli - September,Praktik sholat tasbih
SMP 2,Akhlaq,Juli - Agustus,Pribadi
SMP 2,Materi Dasar Keagamaan,Februari,Puasa Romadhon
SMP 2,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
SMP 2,Materi Dasar Keagamaan,Oktober,"Sholat sunah rowatib, dhuha, dan tahajud"
SMP 2,Hafalan Surat Al Qur'an,Januari - Februari,Surat Al Infithor
SMP 2,Hafalan Surat Al Qur'an,Juli - Agustus,Surat Al Muthoffifin
SMP 2,Hafalan Surat Al Qur'an,Maret - April,Surat At Takwir
SMP 2,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
SMP 2,Adab/ Tatakrama,Oktober,Tata krama berpakaian
SMP 2,Adab/ Tatakrama,April,Tata krama bersepeda
SMP 2,Adab/ Tatakrama,September,Tata krama bertamu/ diajak bertamu
SMP 2,Adab/ Tatakrama,Januari,Tata krama di tempat pengajian dan sekolah
SMP 2,Adab/ Tatakrama,Maret,Tata krama ketika bersin
SMP 2,Adab/ Tatakrama,Januari,Tata krama ketika di masjid
SMP 2,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
SMP 2,Adab/ Tatakrama,Maret,Tata krama ketika menguap
SMP 2,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
SMP 2,Adab/ Tatakrama,November,Tata krama terhadap kerabat
SMP 2,Adab/ Tatakrama,Februari,Tata krama terhadap lingkungan dan alam sekitar
SMP 2,Adab/ Tatakrama,Desember,Tata krama terhadap tetangga
SMP 2,Adab/ Tatakrama,September,Tata krama terhadap ulil amri
SMP 2,Adab/ Tatakrama,Februari,Tata krama tidur
SMP 2,Materi Dasar Keagamaan,Januari,Thoharoh dan Sholat
SMP 2,Hafalan Surat Al Qur'an,Mei,Tiga ayat terakhir surat Al Baqoroh
SMP 2,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
SMP 3,Hafalan Surat Al Qur'an,November - Desember,4 Roda Berputar
SMP 3,Hafalan Surat Al Qur'an,Mei - Juni,5 Usaha Mecari Kefahaman
SMP 3,Baca Huruf Al-Qur'an,Juli - Agustus,Al Quran 24
SMP 3,Baca Huruf Al-Qur'an,September - Oktober,Al Quran 25
SMP 3,Baca Huruf Al-Qur'an,November - Desember,Al Quran 26
SMP 3,Baca Huruf Al-Qur'an,Januari - Februari,Al Quran 27
SMP 3,Baca Huruf Al-Qur'an,Maret - April,Al Quran 28
SMP 3,Baca Huruf Al-Qur'an,Mei - Juni,Al Quran 29
SMP 3,Materi Dasar Keagamaan,Juni,Aurot
SMP 3,Adab/ Tatakrama,Agustus,Bergaul dengan teman
SMP 3,Materi Dasar Keagamaan,Juli,Dasar Aqidah
SMP 3,Baca Huruf Al-Qur'an,Maret,Hukum Bid'ah dalam bacaan
SMP 3,Materi Dasar Keagamaan,Mei,"hukum haid, mani, madzi, wadhi"
SMP 3,Materi Dasar Keagamaan,April,hukum mahrom
SMP 3,Baca Huruf Al-Qur'an,Juli,Hukum Makhorijul Huruf
SMP 3,Baca Huruf Al-Qur'an,Februari,Hukum Pembagian Waqof
SMP 3,Baca Huruf Al-Qur'an,Januari,Hukum sifat-sifat huruf
SMP 3,Baca Huruf Al-Qur'an,April,Hukum Takbir
SMP 3,Materi Dasar Keagamaan,November,"ilmu manqul, musnad, muttashil"
SMP 3,Tulis Huruf Arab,Januari - Februari,Juz 29
SMP 3,Tulis Huruf Arab,Maret - April,Juz 30
SMP 3,Tulis Huruf Arab,November - Desember,K. Adillah
SMP 3,Tulis Huruf Arab,Mei - Juni,K. Sifatil Jannati Wannar
SMP 3,Materi Dasar Keagamaan,Maret,"Kefadholan puasa,dan yang di perbolehkan saat puasa"
SMP 3,Akhlaq,September - Oktober,Keluarga
SMP 3,Mandiri,September - Oktober,Kemandirian dalam keluarga
SMP 3,Mandiri,November - Desember,Kemandirian dalam lingkungan Jama'ah dan sekolah
SMP 3,Mandiri,Juli - Agustus,Kemandirian pribadi
SMP 3,Materi Dasar Keagamaan,September,Kemurnian ibadah
SMP 3,Mandiri,Januari - Maret,Keterampilan Generus Putra
SMP 3,Mandiri,April - Juni,Keterampilan Generus Putri
SMP 3,Akhlaq,April - Juni,Lingkungan dan alam sekitar
SMP 3,Tulis Huruf Arab,Juli - Agustus,Makna Juz 27
SMP 3,Tulis Huruf Arab,September - Oktober,Makna Juz 28
SMP 3,Materi Dasar Keagamaan,Desember,mandi junub
SMP 3,Akhlaq,Januari - Maret,Masyarakat
SMP 3,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
SMP 3,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
SMP 3,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
SMP 3,Materi Dasar Keagamaan,Januari,Pengertian Qur'an Hadits Jama'ah
SMP 3,Materi Dasar Keagamaan,Agustus,Pengetahuan halal dan harom
SMP 3,Materi Dasar Keagamaan,Agustus,Pengetahuan wajibnya taat dan haromnya maksiat
SMP 3,Praktik Ibadah,Januari - Maret,Praktik rutin membaca Al Quran
SMP 3,Praktik Ibadah,April - Juni,Praktik rutin membaca PR 13
SMP 3,Praktik Ibadah,Oktober - Desember,Praktik salat beserta bacaan dan doanya
SMP 3,Praktik Ibadah,Juli - September,Praktik sholat tasbih
SMP 3,Akhlaq,Juli - Agustus,Pribadi
SMP 3,Materi Dasar Keagamaan,Februari,Puasa Romadhon
SMP 3,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
SMP 3,Materi Dasar Keagamaan,Oktober,"Sholat sunah rowatib, dhuha, dan tahajud"
SMP 3,Hafalan Surat Al Qur'an,Juli - Agustus,Surat Abasa
SMP 3,Hafalan Surat Al Qur'an,Januari - Februari,Surat An Naba'
SMP 3,Hafalan Surat Al Qur'an,September - Oktober,Surat An Naziat
SMP 3,Hafalan Surat Al Qur'an,Maret - April,Surat Shof ayat 10-13
SMP 3,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
SMP 3,Adab/ Tatakrama,Oktober,Tata krama berpakaian
SMP 3,Adab/ Tatakrama,April,Tata krama bersepeda
SMP 3,Adab/ Tatakrama,September,Tata krama bertamu/ diajak bertamu
SMP 3,Adab/ Tatakrama,Januari,Tata krama di tempat pengajian dan sekolah
SMP 3,Adab/ Tatakrama,Maret,Tata krama ketika bersin
SMP 3,Adab/ Tatakrama,Januari,Tata krama ketika di masjid
SMP 3,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
SMP 3,Adab/ Tatakrama,Maret,Tata krama ketika menguap
SMP 3,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
SMP 3,Adab/ Tatakrama,November,Tata krama terhadap kerabat
SMP 3,Adab/ Tatakrama,Februari,Tata krama terhadap lingkungan dan alam sekitar
SMP 3,Adab/ Tatakrama,Desember,Tata krama terhadap tetangga
SMP 3,Adab/ Tatakrama,September,Tata krama terhadap ulil amri
SMP 3,Adab/ Tatakrama,Februari,Tata krama tidur
SMP 3,Materi Dasar Keagamaan,Januari,Thoharoh dan Sholat
SMP 3,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
SMA 1,Materi Dasar Keagamaan,Juni,Aurot
SMA 1,Adab/ Tatakrama,September,Bergaul dengan teman
SMA 1,Adab/ Tatakrama,Januari,Berpakaian
SMA 1,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
SMA 1,Hafalan Surat Al Qur'an,Mei - Juni,Dalil 3 Sukses Generus
SMA 1,Hafalan Surat Al Qur'an,Maret - April,Dalil 4 TK
SMA 1,Hafalan Surat Al Qur'an,November - Desember,Dalil 5 Bab (masing-masing 2 dalil)
SMA 1,Materi Dasar Keagamaan,Juli,Dasar Aqidah
SMA 1,Materi Dasar Keagamaan,Februari,"hukum haid, mani, madzi, wadhi"
SMA 1,Materi Dasar Keagamaan,Mei,hukum mahrom
SMA 1,Materi Dasar Keagamaan,Agustus,"ilmu manqul, musnad, muttashil"
SMA 1,Tulis Huruf Arab,Januari,Juz 8
SMA 1,Tulis Huruf Arab,Februari - Maret,Juz 9
SMA 1,Tulis Huruf Arab,April - Juni,K. Imaroh
SMA 1,Tulis Huruf Arab,November - Desember,K. Janaiz
SMA 1,Materi Dasar Keagamaan,April,"Kefadholan puasa,dan yang di perbolehkan saat puasa"
SMA 1,Akhlaq,September - Oktober,Keluarga
SMA 1,Mandiri,September - Oktober,Kemandirian dalam keluarga
SMA 1,Mandiri,November - Desember,Kemandirian dalam lingkungan Jama'ah dan sekolah
SMA 1,Mandiri,Juli - Agustus,Kemandirian pribadi
SMA 1,Materi Dasar Keagamaan,September,Kemurnian ibadah
SMA 1,Mandiri,Januari - Maret,Keterampilan Generus Putra
SMA 1,Mandiri,April - Juni,Keterampilan Generus Putri
SMA 1,Adab/ Tatakrama,Februari,Ketika Bersin
SMA 1,Adab/ Tatakrama,Oktober,Ketika Di Masjid
SMA 1,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
SMA 1,Adab/ Tatakrama,Februari,Ketika Menguap
SMA 1,Akhlaq,April - Juni,Lingkungan dan alam sekitar
SMA 1,Tulis Huruf Arab,Juli - Agustus,Makna Juz 7
SMA 1,Tulis Huruf Arab,September - Oktober,Makna Juz 8
SMA 1,Materi Dasar Keagamaan,Januari,mandi junub
SMA 1,Akhlaq,Januari - Maret,Masyarakat
SMA 1,Praktik Ibadah,Oktober - Desember,Mempraktikkan doa-doa yang telah dihafal
SMA 1,Praktik Ibadah,April - Juni,Mempraktikkan doa-doa yang telah dihafal
SMA 1,Praktik Ibadah,Juli - September,Mempraktikkan puasa sunah
SMA 1,Praktik Ibadah,Januari - Maret,Mempraktikkan puasa sunah
SMA 1,Baca Huruf Al-Qur'an,Juli - Juni,Menderes Harian
SMA 1,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
SMA 1,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
SMA 1,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
SMA 1,Materi Dasar Keagamaan,Agustus,Pengertian Qur'an Hadits Jama'ah
SMA 1,Materi Dasar Keagamaan,November,Pengetahuan halal dan harom
SMA 1,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
SMA 1,Akhlaq,Juli - Agustus,Pribadi
SMA 1,Materi Dasar Keagamaan,April,Puasa Romadlon
SMA 1,Materi Dasar Keagamaan,Mei,Puasa Sunnah
SMA 1,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
SMA 1,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud dan tasbih"
SMA 1,Hafalan Surat Al Qur'an,Januari - Februari,Surat Al Baqoroh 1-4
SMA 1,Hafalan Surat Al Qur'an,Juli - Oktober,Surat Al Mulk
SMA 1,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
SMA 1,Adab/ Tatakrama,April,Tata krama bersepeda
SMA 1,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
SMA 1,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
SMA 1,Adab/ Tatakrama,Maret,Terhadap Kerabat
SMA 1,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
SMA 1,Adab/ Tatakrama,Maret,Terhadap Tetangga
SMA 1,Adab/ Tatakrama,November,Terhadap Ulil Amri
SMA 1,Materi Dasar Keagamaan,Desember,Thoharoh dan Sholat
SMA 1,Adab/ Tatakrama,Januari,Tidur
SMA 1,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
SMA 2,Materi Dasar Keagamaan,Juni,Aurot
SMA 2,Adab/ Tatakrama,September,Bergaul dengan teman
SMA 2,Adab/ Tatakrama,Januari,Berpakaian
SMA 2,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
SMA 2,Mandiri,Agustus,Dalam Keluarga
SMA 2,Mandiri,Februari,Dalam Keluarga
SMA 2,Hafalan Surat Al Qur'an,Mei - Juni,Dalil 5 Syarat Kerukunan 1
SMA 2,Hafalan Surat Al Qur'an,September - Oktober,Dalil 6 Thobiat Luhur 1
SMA 2,Hafalan Surat Al Qur'an,November - Desember,Dalil Wajibnya Berjama'ah 3
SMA 2,Materi Dasar Keagamaan,Juli,Dasar Aqidah
SMA 2,Materi Dasar Keagamaan,Februari,"hukum haid, mani, madzi, wadhi"
SMA 2,Materi Dasar Keagamaan,Mei,hukum mahrom
SMA 2,Materi Dasar Keagamaan,Agustus,"ilmu manqul, musnad, muttashil"
SMA 2,Tulis Huruf Arab,Januari,Juz 11
SMA 2,Tulis Huruf Arab,Februari - Maret,Juz 12
SMA 2,Tulis Huruf Arab,April,Juz 12
SMA 2,Tulis Huruf Arab,November - Desember,K. Ahkam
SMA 2,Tulis Huruf Arab,Mei - Juni,K. Jihad
SMA 2,Materi Dasar Keagamaan,April,"Kefadholan puasa,dan yang di perbolehkan saat puasa"
SMA 2,Akhlaq,September - Oktober,Keluarga
SMA 2,Mandiri,September,Kemandirian dalam keluarga
SMA 2,Mandiri,Maret,Kemandirian dalam keluarga
SMA 2,Mandiri,Juli,Kemandirian pribadi
SMA 2,Mandiri,Januari,Kemandirian pribadi
SMA 2,Materi Dasar Keagamaan,September,Kemurnian ibadah
SMA 2,Mandiri,Oktober,Keterampilan Generus Putra
SMA 2,Mandiri,April,Keterampilan Generus Putra
SMA 2,Mandiri,November - Desember,Keterampilan Generus Putri
SMA 2,Mandiri,Mei - Juni,Keterampilan Generus Putri
SMA 2,Adab/ Tatakrama,Februari,Ketika Bersin
SMA 2,Adab/ Tatakrama,Oktober,Ketika Di Masjid
SMA 2,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
SMA 2,Adab/ Tatakrama,Februari,Ketika Menguap
SMA 2,Akhlaq,April - Juni,Lingkungan dan alam sekitar
SMA 2,Tulis Huruf Arab,Juli,Makna Juz 10
SMA 2,Tulis Huruf Arab,September - Oktober,Makna Juz 11
SMA 2,Tulis Huruf Arab,Agustus,Makna Juz 10
SMA 2,Materi Dasar Keagamaan,Januari,mandi junub
SMA 2,Akhlaq,Januari - Maret,Masyarakat
SMA 2,Praktik Ibadah,Oktober - Desember,Mempraktikkan doa-doa yang telah dihafal
SMA 2,Praktik Ibadah,April - Juni,Mempraktikkan doa-doa yang telah dihafal
SMA 2,Praktik Ibadah,Juli - September,Mempraktikkan puasa sunah
SMA 2,Praktik Ibadah,Januari - Maret,Mempraktikkan puasa sunah
SMA 2,Baca Huruf Al-Qur'an,Juli - Juni,Menderes Harian
SMA 2,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
SMA 2,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
SMA 2,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
SMA 2,Materi Dasar Keagamaan,Agustus,Pengertian Qur'an Hadits Jama'ah
SMA 2,Materi Dasar Keagamaan,November,Pengetahuan halal dan harom
SMA 2,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
SMA 2,Akhlaq,Juli - Agustus,Pribadi
SMA 2,Materi Dasar Keagamaan,April,Puasa Romadlon
SMA 2,Materi Dasar Keagamaan,Mei,Puasa Sunnah
SMA 2,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
SMA 2,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud dan tasbih"
SMA 2,Hafalan Surat Al Qur'an,Maret - April,Surat Al Kahfi 1-10
SMA 2,Hafalan Surat Al Qur'an,Juli - Agustus,Surat Al Mu'minun 1-11
SMA 2,Hafalan Surat Al Qur'an,Januari - Februari,Surat Al Mu'minun 115-118
SMA 2,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
SMA 2,Adab/ Tatakrama,April,Tata krama bersepeda
SMA 2,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
SMA 2,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
SMA 2,Adab/ Tatakrama,Maret,Terhadap Kerabat
SMA 2,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
SMA 2,Adab/ Tatakrama,Maret,Terhadap Tetangga
SMA 2,Adab/ Tatakrama,November,Terhadap Ulil Amri
SMA 2,Materi Dasar Keagamaan,Desember,Thoharoh dan Sholat
SMA 2,Adab/ Tatakrama,Januari,Tidur
SMA 2,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
SMA 3,Materi Dasar Keagamaan,Juni,Aurot
SMA 3,Adab/ Tatakrama,September,Bergaul dengan teman
SMA 3,Adab/ Tatakrama,Januari,Berpakaian
SMA 3,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
SMA 3,Mandiri,Agustus,Dalam Keluarga
SMA 3,Mandiri,Februari,Dalam Keluarga
SMA 3,Hafalan Surat Al Qur'an,Mei - Juni,Dalil 5 Syarat Kerukunan 2
SMA 3,Hafalan Surat Al Qur'an,September - Desember,Dalil 6 Thobiat Luhur 2
SMA 3,Hafalan Surat Al Qur'an,Maret - April,Dalil Wajibnya Berjama'ah 4
SMA 3,Materi Dasar Keagamaan,Juli,Dasar Aqidah
SMA 3,Materi Dasar Keagamaan,Februari,"hukum haid, mani, madzi, wadhi"
SMA 3,Materi Dasar Keagamaan,Mei,hukum mahrom
SMA 3,Materi Dasar Keagamaan,Agustus,"ilmu manqul, musnad, muttashil"
SMA 3,Tulis Huruf Arab,Januari,Juz 14
SMA 3,Tulis Huruf Arab,Februari - Maret,Juz 15
SMA 3,Tulis Huruf Arab,April,Juz 15
SMA 3,Tulis Huruf Arab,November - Desember,K. Manasik Waljihad
SMA 3,Tulis Huruf Arab,Mei - Juni,K. Shoum
SMA 3,Materi Dasar Keagamaan,April,"Kefadholan puasa,dan yang di perbolehkan saat puasa"
SMA 3,Akhlaq,September - Oktober,Keluarga
SMA 3,Mandiri,September,Kemandirian dalam keluarga
SMA 3,Mandiri,Maret,Kemandirian dalam keluarga
SMA 3,Mandiri,Juli,Kemandirian pribadi
SMA 3,Mandiri,Januari,Kemandirian pribadi
SMA 3,Materi Dasar Keagamaan,September,Kemurnian ibadah
SMA 3,Mandiri,Oktober,Keterampilan Generus Putra
SMA 3,Mandiri,April,Keterampilan Generus Putra
SMA 3,Mandiri,November - Desember,Keterampilan Generus Putri
SMA 3,Mandiri,Mei - Juni,Keterampilan Generus Putri
SMA 3,Adab/ Tatakrama,Februari,Ketika Bersin
SMA 3,Adab/ Tatakrama,Oktober,Ketika Di Masjid
